VS102,VS103,VS302,VS303,VS304,VS359,VS360,VS363,VS010,VS330,VS331,V4482B_1
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,2,1,2,2,99
1,0,1,1,1,9,99,1,1,2,2,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
1,0,1,1,2,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,2,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,2,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,1,1,2,2,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
1,0,1,2,2,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,1,1,2,2,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,2,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
1,0,1,2,6,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
1,0,1,1,5,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,30
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,2,2,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,2,2,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,2,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,31
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,2,1,2,2,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
2,0,1,2,3,9,99,2,1,2,2,99
9,9,9,9,9999,9,99,2,2,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,2,1,2,2,99
9,9,9,9,9999,9,99,2,2,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,2,1,2,2,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,2,2,9,9,99
9,9,9,9,9999,9,99,2,2,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
1,0,1,1,1,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,9,9,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
2,0,1,4,3,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
2,0,2,9,72,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,1,2,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,1,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99
9,9,9,9,9999,9,99,2,1,9,9,99

